Year.ID.ForecastYear.Quarter,YEAR FORECAST MADE,YEAR BEING FORECAST,QUARTER,FORECASTER ID,INDUSTRY,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,INDICATOR,TDIST
2009-555-2009-2,2009,2009,2,555,1.0,0.0,0.0,20.0,50.0,30.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-556-2009-2,2009,2009,2,556,1.0,0.0,5.0,25.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-557-2009-2,2009,2009,2,557,1.0,2.934,4.0,28.0,32.0,18.0,15.0,0.05,0.01,0.005,0.001,Unemployment,0.5
2009-558-2009-2,2009,2009,2,558,1.0,0.0,0.0,5.0,80.0,10.0,5.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-560-2009-2,2009,2009,2,560,2.0,0.0,0.0,5.0,25.0,25.0,25.0,15.0,5.0,0.0,0.0,Unemployment,0.5
2009-561-2009-2,2009,2009,2,561,2.0,0.0,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-84-2009-3,2009,2009,3,84,1.0,0.0,0.0,4.0,95.0,1.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-407-2009-3,2009,2009,3,407,2.0,0.0,0.0,15.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-411-2009-3,2009,2009,3,411,2.0,0.0,0.0,30.0,60.0,10.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-420-2009-3,2009,2009,3,420,2.0,0.0,0.0,5.0,70.0,25.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-422-2009-3,2009,2009,3,422,1.0,3.0,25.0,30.0,30.0,10.0,2.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-423-2009-3,2009,2009,3,423,2.0,0.0,35.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-424-2009-3,2009,2009,3,424,1.0,0.0,1.0,15.0,65.0,15.0,1.0,1.0,1.0,1.0,0.0,Unemployment,0.25
2009-426-2009-3,2009,2009,3,426,2.0,0.0,5.0,55.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-433-2009-3,2009,2009,3,433,2.0,0.0,0.0,10.0,80.0,10.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-446-2009-3,2009,2009,3,446,2.0,0.0,7.5,25.0,40.0,20.0,7.5,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-456-2009-3,2009,2009,3,456,1.0,0.0,0.0,5.0,85.0,10.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-463-2009-3,2009,2009,3,463,2.0,0.0,0.0,20.0,55.0,23.0,2.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-472-2009-3,2009,2009,3,472,2.0,0.0,0.0,30.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-483-2009-3,2009,2009,3,483,3.0,15.0,20.0,22.0,35.0,6.0,2.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-498-2009-3,2009,2009,3,498,1.0,0.0,0.0,45.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-504-2009-3,2009,2009,3,504,1.0,0.0,5.0,15.0,65.0,15.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-510-2009-3,2009,2009,3,510,2.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-512-2009-3,2009,2009,3,512,2.0,0.0,5.0,50.0,40.0,5.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-516-2009-3,2009,2009,3,516,1.0,,,,,,,,,,,Unemployment,0.25
2009-518-2009-3,2009,2009,3,518,2.0,0.0,10.0,25.0,60.0,5.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-520-2009-3,2009,2009,3,520,2.0,0.0,0.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-523-2009-3,2009,2009,3,523,2.0,0.3,1.6,7.8,39.1,40.9,8.2,1.6,0.3,0.1,0.0,Unemployment,0.25
2009-524-2009-3,2009,2009,3,524,2.0,5.0,20.0,40.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-527-2009-3,2009,2009,3,527,2.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-528-2009-3,2009,2009,3,528,1.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-531-2009-3,2009,2009,3,531,1.0,0.0,0.0,10.0,60.0,30.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-535-2009-3,2009,2009,3,535,1.0,0.0,0.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-540-2009-3,2009,2009,3,540,2.0,0.0,0.0,10.0,40.0,30.0,20.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-543-2009-3,2009,2009,3,543,1.0,0.0,0.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-549-2009-3,2009,2009,3,549,1.0,0.0,0.0,45.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-555-2009-3,2009,2009,3,555,1.0,0.0,0.0,20.0,70.0,10.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-556-2009-3,2009,2009,3,556,1.0,0.0,10.0,30.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.25
2009-557-2009-3,2009,2009,3,557,1.0,1.0,8.0,25.0,51.0,6.0,4.0,2.0,1.5,1.0,0.5,Unemployment,0.25
2009-560-2009-3,2009,2009,3,560,2.0,0.0,0.0,5.0,25.0,25.0,25.0,15.0,5.0,0.0,0.0,Unemployment,0.25
2009-84-2009-4,2009,2009,4,84,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-99-2009-4,2009,2009,4,99,1.0,5.0,22.0,15.0,15.0,10.0,10.0,10.0,4.0,7.0,2.0,Unemployment,0.0
2009-407-2009-4,2009,2009,4,407,2.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-411-2009-4,2009,2009,4,411,2.0,0.0,0.0,30.0,60.0,10.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-421-2009-4,2009,2009,4,421,2.0,,,,,,,,,,,Unemployment,0.0
2009-422-2009-4,2009,2009,4,422,1.0,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-424-2009-4,2009,2009,4,424,1.0,0.0,1.0,15.0,65.0,15.0,1.0,1.0,1.0,1.0,0.0,Unemployment,0.0
2009-426-2009-4,2009,2009,4,426,2.0,0.0,0.0,20.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-428-2009-4,2009,2009,4,428,2.0,,,,,,,,,,,Unemployment,0.0
2009-446-2009-4,2009,2009,4,446,2.0,0.0,0.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-456-2009-4,2009,2009,4,456,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-463-2009-4,2009,2009,4,463,2.0,0.0,0.0,2.0,96.0,2.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-472-2009-4,2009,2009,4,472,2.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-483-2009-4,2009,2009,4,483,3.0,0.0,0.0,35.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-484-2009-4,2009,2009,4,484,2.0,3.0,12.0,22.0,27.0,18.0,15.0,3.0,0.0,0.0,0.0,Unemployment,0.0
2009-498-2009-4,2009,2009,4,498,1.0,0.0,5.0,30.0,60.0,5.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-504-2009-4,2009,2009,4,504,1.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-506-2009-4,2009,2009,4,506,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-507-2009-4,2009,2009,4,507,3.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-508-2009-4,2009,2009,4,508,2.0,0.0,0.0,4.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-510-2009-4,2009,2009,4,510,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-516-2009-4,2009,2009,4,516,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-518-2009-4,2009,2009,4,518,2.0,0.0,0.0,20.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-520-2009-4,2009,2009,4,520,2.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-524-2009-4,2009,2009,4,524,2.0,0.0,20.0,30.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-527-2009-4,2009,2009,4,527,2.0,0.0,0.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-528-2009-4,2009,2009,4,528,1.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-531-2009-4,2009,2009,4,531,1.0,0.0,0.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-532-2009-4,2009,2009,4,532,2.0,,,,,,,,,,,Unemployment,0.0
2009-540-2009-4,2009,2009,4,540,2.0,0.0,0.0,5.0,80.0,15.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-541-2009-4,2009,2009,4,541,1.0,0.0,0.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-546-2009-4,2009,2009,4,546,1.0,0.0,0.5,1.5,98.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-548-2009-4,2009,2009,4,548,2.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-549-2009-4,2009,2009,4,549,1.0,0.0,0.0,30.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-553-2009-4,2009,2009,4,553,2.0,0.0,0.0,15.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-555-2009-4,2009,2009,4,555,1.0,0.0,0.0,30.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-556-2009-4,2009,2009,4,556,1.0,0.0,0.0,45.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-557-2009-4,2009,2009,4,557,1.0,1.0,4.0,22.0,64.0,4.0,2.0,1.0,1.0,0.5,0.5,Unemployment,0.0
2009-558-2009-4,2009,2009,4,558,1.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2009-560-2009-4,2009,2009,4,560,2.0,0.0,0.0,5.0,25.0,25.0,25.0,15.0,5.0,0.0,0.0,Unemployment,0.0
2009-564-2009-4,2009,2009,4,564,2.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.0
2010-407-2010-1,2010,2010,1,407,2.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-411-2010-1,2010,2010,1,411,2.0,15.0,35.0,35.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-420-2010-1,2010,2010,1,420,2.0,0.0,10.0,70.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-421-2010-1,2010,2010,1,421,2.0,10.0,55.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-422-2010-1,2010,2010,1,422,1.0,5.0,25.0,30.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-424-2010-1,2010,2010,1,424,1.0,,,,,,,,,,,Unemployment,0.75
2010-426-2010-1,2010,2010,1,426,2.0,25.0,70.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-428-2010-1,2010,2010,1,428,2.0,,,,,,,,,,,Unemployment,0.75
2010-446-2010-1,2010,2010,1,446,2.0,5.0,45.0,40.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-456-2010-1,2010,2010,1,456,1.0,5.0,45.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-463-2010-1,2010,2010,1,463,2.0,5.0,40.0,50.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-472-2010-1,2010,2010,1,472,2.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-483-2010-1,2010,2010,1,483,3.0,10.0,35.0,35.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-484-2010-1,2010,2010,1,484,2.0,5.0,20.0,30.0,25.0,10.0,6.0,3.0,1.0,0.0,0.0,Unemployment,0.75
2010-498-2010-1,2010,2010,1,498,1.0,0.0,25.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-504-2010-1,2010,2010,1,504,1.0,0.0,20.0,65.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-506-2010-1,2010,2010,1,506,2.0,0.0,30.0,40.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-507-2010-1,2010,2010,1,507,3.0,0.0,30.0,65.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-508-2010-1,2010,2010,1,508,2.0,0.0,8.0,80.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-510-2010-1,2010,2010,1,510,2.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-516-2010-1,2010,2010,1,516,1.0,1.0,20.0,64.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-518-2010-1,2010,2010,1,518,2.0,15.0,50.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-520-2010-1,2010,2010,1,520,2.0,0.0,25.0,60.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-524-2010-1,2010,2010,1,524,2.0,,,,,,,,,,,Unemployment,0.75
2010-527-2010-1,2010,2010,1,527,2.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-528-2010-1,2010,2010,1,528,1.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-532-2010-1,2010,2010,1,532,2.0,,,,,,,,,,,Unemployment,0.75
2010-535-2010-1,2010,2010,1,535,1.0,0.0,5.0,45.0,45.0,5.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-538-2010-1,2010,2010,1,538,2.0,0.0,5.0,50.0,40.0,4.0,1.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-540-2010-1,2010,2010,1,540,2.0,0.0,10.0,40.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-541-2010-1,2010,2010,1,541,1.0,0.0,45.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-542-2010-1,2010,2010,1,542,1.0,5.0,15.0,40.0,20.0,15.0,5.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-546-2010-1,2010,2010,1,546,1.0,5.0,20.0,45.0,15.0,8.0,4.0,2.0,1.0,0.0,0.0,Unemployment,0.75
2010-548-2010-1,2010,2010,1,548,2.0,0.0,15.0,65.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-549-2010-1,2010,2010,1,549,1.0,0.0,35.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-553-2010-1,2010,2010,1,553,2.0,1.0,35.0,41.0,15.0,6.0,2.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-555-2010-1,2010,2010,1,555,1.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-556-2010-1,2010,2010,1,556,1.0,5.0,20.0,35.0,25.0,10.0,5.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-557-2010-1,2010,2010,1,557,1.0,1.0,5.0,30.0,42.0,18.0,1.5,1.0,0.5,0.5,0.5,Unemployment,0.75
2010-558-2010-1,2010,2010,1,558,1.0,70.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-560-2010-1,2010,2010,1,560,2.0,0.0,0.0,0.0,0.0,5.0,25.0,25.0,25.0,15.0,5.0,Unemployment,0.75
2010-564-2010-1,2010,2010,1,564,2.0,5.0,40.0,40.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.75
2010-407-2010-2,2010,2010,2,407,2.0,0.0,0.0,20.0,65.0,15.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2010-411-2010-2,2010,2010,2,411,2.0,15.0,35.0,35.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2010-421-2010-2,2010,2010,2,421,2.0,0.0,35.0,50.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2010-422-2010-2,2010,2010,2,422,1.0,5.0,15.0,25.0,40.0,15.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2010-423-2010-2,2010,2010,2,423,2.0,,,,,,,,,,,Unemployment,0.5
2010-424-2010-2,2010,2010,2,424,1.0,,,,,,,,,,,Unemployment,0.5
2010-426-2010-2,2010,2010,2,426,2.0,0.0,10.0,85.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2010-428-2010-2,2010,2010,2,428,2.0,,,,,,,,,,,Unemployment,0.5
2010-431-2010-2,2010,2010,2,431,1.0,0.0,10.0,40.0,45.0,5.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2010-446-2010-2,2010,2010,2,446,2.0,0.0,10.0,40.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2010-456-2010-2,2010,2010,2,456,1.0,0.0,13.0,45.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2010-463-2010-2,2010,2010,2,463,2.0,0.0,10.0,60.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2010-472-2010-2,2010,2010,2,472,2.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2010-483-2010-2,2010,2010,2,483,3.0,5.0,15.0,45.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2010-484-2010-2,2010,2010,2,484,2.0,4.0,18.0,35.0,23.0,10.0,6.0,3.0,1.0,0.0,0.0,Unemployment,0.5
2010-498-2010-2,2010,2010,2,498,1.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2010-504-2010-2,2010,2010,2,504,1.0,0.0,20.0,65.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2010-506-2010-2,2010,2010,2,506,2.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2010-507-2010-2,2010,2010,2,507,3.0,0.0,15.0,60.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2010-510-2010-2,2010,2010,2,510,2.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2010-516-2010-2,2010,2010,2,516,1.0,0.0,10.0,60.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2010-518-2010-2,2010,2010,2,518,2.0,0.0,15.0,50.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2010-520-2010-2,2010,2010,2,520,2.0,0.0,10.0,75.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
