Year.ID.ForecastYear.Quarter,YEAR FORECAST MADE,YEAR BEING FORECAST,QUARTER,FORECASTER ID,INDUSTRY,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,INDICATOR,TDIST
1992-404-1992-2,1992,1992,2,404,2.0,0.0,0.0,0.0,10.0,50.0,35.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.5
1992-407-1992-2,1992,1992,2,407,1.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.5
1992-408-1992-2,1992,1992,2,408,1.0,0.0,0.0,0.0,25.0,60.0,10.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.5
1992-409-1992-2,1992,1992,2,409,1.0,0.0,1.0,5.0,30.0,50.0,10.0,4.0,0.0,0.0,0.0,,,,,,RealGDP,0.5
1992-410-1992-2,1992,1992,2,410,2.0,0.0,0.0,10.0,20.0,60.0,10.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.5
1992-411-1992-2,1992,1992,2,411,2.0,1.0,5.0,8.0,15.0,30.0,30.0,10.0,1.0,0.0,0.0,,,,,,RealGDP,0.5
1992-412-1992-2,1992,1992,2,412,2.0,0.0,0.0,0.0,10.0,70.0,15.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.5
1992-414-1992-2,1992,1992,2,414,1.0,0.0,0.0,0.0,5.0,50.0,40.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.5
1992-416-1992-2,1992,1992,2,416,2.0,0.0,0.0,0.0,15.0,55.0,20.0,10.0,0.0,0.0,0.0,,,,,,RealGDP,0.5
1992-418-1992-2,1992,1992,2,418,1.0,0.0,0.0,0.0,0.0,15.0,75.0,10.0,0.0,0.0,0.0,,,,,,RealGDP,0.5
1992-421-1992-2,1992,1992,2,421,1.0,0.0,0.0,0.0,25.0,40.0,30.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.5
1992-422-1992-2,1992,1992,2,422,1.0,0.0,0.0,20.0,45.0,15.0,10.0,5.0,5.0,0.0,0.0,,,,,,RealGDP,0.5
1992-423-1992-2,1992,1992,2,423,2.0,1.0,1.0,2.0,10.0,30.0,30.0,20.0,6.0,0.0,0.0,,,,,,RealGDP,0.5
1992-424-1992-2,1992,1992,2,424,1.0,0.0,0.0,5.0,25.0,60.0,10.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.5
1992-426-1992-2,1992,1992,2,426,1.0,0.0,0.0,0.0,5.0,15.0,65.0,10.0,5.0,0.0,0.0,,,,,,RealGDP,0.5
1992-427-1992-2,1992,1992,2,427,1.0,1.0,4.0,5.0,15.0,30.0,20.0,15.0,5.0,4.0,1.0,,,,,,RealGDP,0.5
1992-428-1992-2,1992,1992,2,428,2.0,0.0,0.0,0.0,10.0,50.0,30.0,10.0,0.0,0.0,0.0,,,,,,RealGDP,0.5
1992-429-1992-2,1992,1992,2,429,2.0,,,,,,,,,,,,,,,,RealGDP,0.5
1992-430-1992-2,1992,1992,2,430,2.0,0.0,5.0,10.0,20.0,35.0,25.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.5
1992-431-1992-2,1992,1992,2,431,1.0,0.0,1.0,4.0,10.0,20.0,40.0,12.0,8.0,5.0,0.0,,,,,,RealGDP,0.5
1992-432-1992-2,1992,1992,2,432,1.0,0.0,0.0,0.0,0.0,10.0,60.0,30.0,0.0,0.0,0.0,,,,,,RealGDP,0.5
1992-433-1992-2,1992,1992,2,433,2.0,0.0,0.0,0.0,10.0,70.0,20.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.5
1992-434-1992-2,1992,1992,2,434,1.0,0.0,0.0,5.0,15.0,50.0,20.0,10.0,0.0,0.0,0.0,,,,,,RealGDP,0.5
1992-435-1992-2,1992,1992,2,435,2.0,0.0,0.0,0.0,5.0,20.0,60.0,10.0,5.0,0.0,0.0,,,,,,RealGDP,0.5
1992-437-1992-2,1992,1992,2,437,1.0,0.0,2.0,8.0,15.0,50.0,15.0,8.0,2.0,0.0,0.0,,,,,,RealGDP,0.5
1992-438-1992-2,1992,1992,2,438,1.0,0.0,0.0,5.0,10.0,10.0,60.0,15.0,0.0,0.0,0.0,,,,,,RealGDP,0.5
1992-439-1992-2,1992,1992,2,439,2.0,0.0,0.0,10.0,25.0,50.0,15.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.5
1992-440-1992-2,1992,1992,2,440,1.0,0.0,0.0,15.0,30.0,30.0,15.0,10.0,0.0,0.0,0.0,,,,,,RealGDP,0.5
1992-20-1992-3,1992,1992,3,20,2.0,0.0,0.0,0.0,10.0,50.0,40.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.25
1992-30-1992-3,1992,1992,3,30,3.0,0.0,0.0,0.0,0.0,10.0,80.0,10.0,0.0,0.0,0.0,,,,,,RealGDP,0.25
1992-60-1992-3,1992,1992,3,60,2.0,0.0,0.0,0.0,0.0,10.0,85.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.25
1992-62-1992-3,1992,1992,3,62,2.0,0.0,0.0,0.0,0.0,45.0,55.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.25
1992-65-1992-3,1992,1992,3,65,1.0,,,,,,,,,,,,,,,,RealGDP,0.25
1992-84-1992-3,1992,1992,3,84,1.0,0.0,0.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.25
1992-94-1992-3,1992,1992,3,94,1.0,0.0,0.0,0.0,5.0,15.0,40.0,30.0,10.0,0.0,0.0,,,,,,RealGDP,0.25
1992-404-1992-3,1992,1992,3,404,2.0,0.0,0.0,0.0,0.0,35.0,60.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.25
1992-405-1992-3,1992,1992,3,405,1.0,0.0,0.0,0.0,10.0,60.0,25.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.25
1992-406-1992-3,1992,1992,3,406,1.0,0.0,0.0,0.0,5.0,35.0,55.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.25
1992-407-1992-3,1992,1992,3,407,1.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.25
1992-408-1992-3,1992,1992,3,408,1.0,0.0,0.0,0.0,0.0,25.0,60.0,15.0,0.0,0.0,0.0,,,,,,RealGDP,0.25
1992-409-1992-3,1992,1992,3,409,1.0,0.0,0.0,0.0,0.0,50.0,40.0,10.0,0.0,0.0,0.0,,,,,,RealGDP,0.25
1992-410-1992-3,1992,1992,3,410,2.0,0.0,0.0,2.0,10.0,30.0,50.0,5.0,2.0,1.0,0.0,,,,,,RealGDP,0.25
1992-411-1992-3,1992,1992,3,411,2.0,0.0,0.0,0.0,2.0,52.0,44.0,2.0,0.0,0.0,0.0,,,,,,RealGDP,0.25
1992-412-1992-3,1992,1992,3,412,2.0,0.0,0.0,0.0,5.0,35.0,45.0,10.0,5.0,0.0,0.0,,,,,,RealGDP,0.25
1992-413-1992-3,1992,1992,3,413,2.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.25
1992-414-1992-3,1992,1992,3,414,1.0,0.0,0.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.25
1992-415-1992-3,1992,1992,3,415,1.0,0.0,0.0,0.0,0.0,15.0,80.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.25
1992-416-1992-3,1992,1992,3,416,2.0,0.0,0.0,0.0,0.0,15.0,65.0,20.0,0.0,0.0,0.0,,,,,,RealGDP,0.25
1992-418-1992-3,1992,1992,3,418,1.0,0.0,0.0,0.0,0.0,15.0,70.0,15.0,0.0,0.0,0.0,,,,,,RealGDP,0.25
1992-420-1992-3,1992,1992,3,420,1.0,0.0,0.0,0.0,15.0,65.0,15.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.25
1992-421-1992-3,1992,1992,3,421,1.0,0.0,0.0,0.0,2.0,28.0,60.0,10.0,0.0,0.0,0.0,,,,,,RealGDP,0.25
1992-423-1992-3,1992,1992,3,423,2.0,1.0,2.6,7.1,14.0,20.4,21.8,17.2,9.9,4.3,1.7,,,,,,RealGDP,0.25
1992-424-1992-3,1992,1992,3,424,1.0,0.0,0.0,0.0,0.0,25.0,60.0,15.0,0.0,0.0,0.0,,,,,,RealGDP,0.25
1992-426-1992-3,1992,1992,3,426,1.0,0.0,0.0,0.0,5.0,5.0,65.0,15.0,5.0,5.0,0.0,,,,,,RealGDP,0.25
1992-427-1992-3,1992,1992,3,427,1.0,0.0,0.0,5.0,10.0,35.0,35.0,10.0,5.0,0.0,0.0,,,,,,RealGDP,0.25
1992-428-1992-3,1992,1992,3,428,2.0,0.0,0.0,0.0,0.0,30.0,60.0,10.0,0.0,0.0,0.0,,,,,,RealGDP,0.25
1992-429-1992-3,1992,1992,3,429,2.0,,,,,,,,,,,,,,,,RealGDP,0.25
1992-430-1992-3,1992,1992,3,430,2.0,0.0,0.0,0.0,0.0,25.0,70.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.25
1992-431-1992-3,1992,1992,3,431,1.0,0.0,0.0,0.0,5.0,35.0,40.0,15.0,5.0,0.0,0.0,,,,,,RealGDP,0.25
1992-432-1992-3,1992,1992,3,432,1.0,0.0,0.0,0.0,0.0,15.0,80.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.25
1992-433-1992-3,1992,1992,3,433,2.0,0.0,0.0,0.0,0.0,30.0,70.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.25
1992-434-1992-3,1992,1992,3,434,1.0,0.0,0.0,0.0,0.0,15.0,75.0,10.0,0.0,0.0,0.0,,,,,,RealGDP,0.25
1992-439-1992-3,1992,1992,3,439,2.0,0.0,5.0,10.0,40.0,30.0,10.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.25
1992-440-1992-3,1992,1992,3,440,1.0,0.0,0.0,0.0,0.0,5.0,25.0,40.0,25.0,5.0,0.0,,,,,,RealGDP,0.25
1992-20-1992-4,1992,1992,4,20,2.0,0.0,0.0,0.0,0.0,10.0,60.0,30.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-30-1992-4,1992,1992,4,30,3.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-40-1992-4,1992,1992,4,40,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-60-1992-4,1992,1992,4,60,2.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-62-1992-4,1992,1992,4,62,2.0,0.0,0.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-65-1992-4,1992,1992,4,65,1.0,,,,,,,,,,,,,,,,RealGDP,0.0
1992-84-1992-4,1992,1992,4,84,1.0,0.0,0.0,0.0,0.0,35.0,65.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-94-1992-4,1992,1992,4,94,1.0,0.0,0.0,0.0,5.0,20.0,40.0,30.0,5.0,0.0,0.0,,,,,,RealGDP,0.0
1992-99-1992-4,1992,1992,4,99,1.0,0.0,0.0,0.0,0.0,10.0,90.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-404-1992-4,1992,1992,4,404,2.0,0.0,0.0,0.0,0.0,10.0,90.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-405-1992-4,1992,1992,4,405,1.0,0.0,0.0,0.0,10.0,80.0,10.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-407-1992-4,1992,1992,4,407,1.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-408-1992-4,1992,1992,4,408,1.0,0.0,0.0,0.0,5.0,60.0,35.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-409-1992-4,1992,1992,4,409,1.0,0.0,0.0,0.0,0.0,10.0,90.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-411-1992-4,1992,1992,4,411,2.0,0.0,0.0,0.0,5.0,45.0,45.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-412-1992-4,1992,1992,4,412,2.0,0.0,0.0,0.0,0.0,30.0,70.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-413-1992-4,1992,1992,4,413,2.0,0.0,0.0,0.0,0.0,10.0,90.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-414-1992-4,1992,1992,4,414,1.0,0.0,0.0,0.0,0.0,15.0,85.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-416-1992-4,1992,1992,4,416,2.0,0.0,0.0,0.0,0.0,5.0,80.0,15.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-418-1992-4,1992,1992,4,418,1.0,0.0,0.0,0.0,15.0,20.0,45.0,20.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-420-1992-4,1992,1992,4,420,1.0,0.0,0.0,0.0,0.0,30.0,60.0,10.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-421-1992-4,1992,1992,4,421,1.0,0.0,0.0,0.0,5.0,45.0,45.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-422-1992-4,1992,1992,4,422,1.0,0.0,0.0,0.0,0.0,20.0,70.0,10.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-423-1992-4,1992,1992,4,423,2.0,0.0,1.0,7.6,15.2,21.7,22.6,17.1,9.4,3.9,1.5,,,,,,RealGDP,0.0
1992-424-1992-4,1992,1992,4,424,1.0,0.0,0.0,0.0,15.0,40.0,45.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-426-1992-4,1992,1992,4,426,1.0,0.0,0.0,0.0,0.0,15.0,75.0,10.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-427-1992-4,1992,1992,4,427,1.0,0.0,0.0,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-428-1992-4,1992,1992,4,428,2.0,0.0,0.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-429-1992-4,1992,1992,4,429,2.0,,,,,,,,,,,,,,,,RealGDP,0.0
1992-430-1992-4,1992,1992,4,430,2.0,0.0,0.0,0.0,0.0,45.0,55.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-431-1992-4,1992,1992,4,431,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-432-1992-4,1992,1992,4,432,1.0,0.0,0.0,0.0,0.0,15.0,85.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-433-1992-4,1992,1992,4,433,2.0,0.0,0.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-434-1992-4,1992,1992,4,434,1.0,0.0,0.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-435-1992-4,1992,1992,4,435,2.0,0.0,0.0,0.0,0.0,15.0,85.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-437-1992-4,1992,1992,4,437,1.0,1.0,2.0,3.0,4.0,35.0,45.0,4.0,3.0,2.0,1.0,,,,,,RealGDP,0.0
1992-439-1992-4,1992,1992,4,439,2.0,0.0,0.0,0.0,0.0,45.0,45.0,10.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-440-1992-4,1992,1992,4,440,1.0,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-442-1992-4,1992,1992,4,442,1.0,0.0,0.0,0.0,0.0,32.8,67.2,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1992-444-1992-4,1992,1992,4,444,2.0,0.0,0.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.0
1993-20-1993-1,1993,1993,1,20,2.0,0.0,0.0,0.0,30.0,60.0,10.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1993-30-1993-1,1993,1993,1,30,3.0,0.0,0.0,0.0,0.0,10.0,80.0,10.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1993-40-1993-1,1993,1993,1,40,2.0,0.0,0.0,10.0,80.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1993-60-1993-1,1993,1993,1,60,2.0,0.0,0.0,35.0,55.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1993-65-1993-1,1993,1993,1,65,1.0,0.0,0.0,20.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1993-94-1993-1,1993,1993,1,94,1.0,0.0,0.0,20.0,45.0,20.0,10.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1993-99-1993-1,1993,1993,1,99,1.0,0.0,0.0,5.0,75.0,12.0,5.0,3.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1993-404-1993-1,1993,1993,1,404,2.0,0.0,0.0,15.0,50.0,30.0,5.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1993-407-1993-1,1993,1993,1,407,1.0,0.0,0.0,5.0,45.0,45.0,5.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1993-411-1993-1,1993,1993,1,411,2.0,0.0,0.0,15.0,45.0,25.0,10.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1993-414-1993-1,1993,1993,1,414,1.0,0.0,0.0,5.0,45.0,45.0,5.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1993-416-1993-1,1993,1993,1,416,2.0,0.0,0.0,0.0,15.0,60.0,10.0,10.0,5.0,0.0,0.0,,,,,,RealGDP,0.75
1993-417-1993-1,1993,1993,1,417,3.0,0.0,2.0,8.0,10.0,70.0,5.0,3.0,2.0,0.0,0.0,,,,,,RealGDP,0.75
1993-418-1993-1,1993,1993,1,418,1.0,0.0,0.0,10.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1993-420-1993-1,1993,1993,1,420,1.0,0.0,0.0,5.0,40.0,50.0,5.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1993-421-1993-1,1993,1993,1,421,1.0,0.0,0.0,15.0,55.0,25.0,5.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1993-422-1993-1,1993,1993,1,422,1.0,0.0,5.0,20.0,40.0,20.0,10.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1993-423-1993-1,1993,1993,1,423,2.0,,,,,,,,,,,,,,,,RealGDP,0.75
1993-424-1993-1,1993,1993,1,424,1.0,0.0,0.0,10.0,25.0,50.0,15.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1993-426-1993-1,1993,1993,1,426,1.0,0.0,0.0,10.0,15.0,70.0,5.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1993-427-1993-1,1993,1993,1,427,1.0,1.0,4.0,10.0,40.0,30.0,10.0,4.0,1.0,0.0,0.0,,,,,,RealGDP,0.75
1993-428-1993-1,1993,1993,1,428,2.0,0.0,5.0,15.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1993-429-1993-1,1993,1993,1,429,2.0,,,,,,,,,,,,,,,,RealGDP,0.75
1993-430-1993-1,1993,1993,1,430,2.0,0.0,0.0,10.0,40.0,30.0,15.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
